,barrio,barrio-href,zona,ciudad,lat,lon
36,Los Paraísos,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1001&country=Los%20Para%C3%ADsos,Buenos Aires - Norte,Cardales,,
37,Montecarlo,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=870&country=Montecarlo,Buenos Aires - Norte,Pilar,,
38,Costa del Sol,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=921&country=Costa%20del%20Sol,Buenos Aires - Costa Atlantica,Mar del Plata,,
39,Greenville Polo y Reso,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1002&country=Greenville%20Polo%20y%20Resort,Buenos Aires - Sur,Hudson,-34.806488 , -58.169565
40,Hi42.5,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1019&country=Hi42.5,Buenos Aires - Norte,Pilar,,
41,Haras del Sol,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=228&country=Haras%20del%20Sol,Buenos Aires - Oeste,Moreno,-34.522170 , -58.883380
42,Haras Maria Eugenia,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=230&country=Haras%20Maria%20Eugenia,Buenos Aires - Oeste,Moreno,-34.638888 , -58.653745
43,Bahía Bustamante,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=831&country=Bah%C3%ADa%20Bustamante,Prov. Chubut,Bahia Bustamante,,
44,El Durazno,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=431&country=El%20Durazno,Buenos Aires - Norte,Tigre,-34.337496 , -58.556136
45,Villalobos,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1144&country=Villalobos,Buenos Aires - Sur,Hudson,,
46,Punta Medanos,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=789&country=Punta%20Medanos,Buenos Aires - Costa Atlantica,Pinamar,-36.8516 , -56.690826
47,La Merced,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=326&country=La%20Merced,Buenos Aires - Norte,San Isidro,-34.455246 , -58.571223
48,Parque Exaltacion,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=161&country=Parque%20Exaltacion,Buenos Aires - Norte,Capilla del Señor,-34.374355 , -59.088223
49,Santa Clara,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=401&country=Santa%20Clara,Buenos Aires - Norte,Tigre,-34.456391 , -58.552591
50,Valle Viejo,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=414&country=Valle%20Viejo,Buenos Aires - Norte,Tigre,-34.602076 , -59.151633
51,La Tradicion,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=255&country=La%20Tradicion,Buenos Aires - Oeste,Moreno,-34.617923 , -58.850306
52,Corral de Piedra,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1104&country=Corral%20de%20Piedra,Prov. Mendoza,Malargue,,
53,El jaguel del monte,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=450&country=El%20jaguel%20del%20monte,Buenos Aires - Norte,Cardales,-34.306721 , -58.956426
54,El Potrero,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=253&country=El%20Potrero,Buenos Aires - Oeste,Merlo,-34.742125 , -58.652731
55,La Honorata,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=827&country=La%20Honorata,Buenos Aires - Norte,Pilar,,
56,La Melinca,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=708&country=La%20Melinca,Prov. Cordoba,Alta Gracia,-31.637358 , -64.450028
57,Santa Paula,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=502&country=Santa%20Paula,Buenos Aires - Norte,San Isidro,-34.490391 , -58.566921
58,Horizontes al sur,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=782&country=Horizontes%20al%20sur,Buenos Aires - Sur,Canning,-34.956230 , -58.523878
59,Tejas Tres,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=523&country=Tejas%20Tres,Prov. Cordoba,Carlos Paz,-31.437473 , -64.308791
60,San Alfonso II,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=698&country=San%20Alfonso%20II,Prov. Cordoba,Villa Allende,-31.306151 , -64.287556
